V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
1228177;4751-4752;474 - 475;4;2007;0;1545484;476882;0;2606;68240;2583;188447;17194;4599;5435;14731;2043;5398;54705;67511;0;0;43390;343602;215936;4844375;1068602;17;0;17;0;0;0;17;0;0;8;9;0;0;0;0;0;0;8;9;343602;148648;492250;58971,44;0;0;551221,44;884224;1297660;3552144;1090942;3552144;3552144;0;4117384;312882;5021106
1228178;4771;476 - 477;14;2010;0;351848;40928,5;0;5284;10954;0;0;3267;3225;6943;2070;1736;376;1256;5192;0;0;625,5;117475;60995;1395652;310919,5;11;3;11;0;0;0;14;1;2;8;3;0;0;0;0;0;0;9;5;117475;36866;154341;20766,2;0;0;175107,2;913973;781415;1043233;847694;1043233;1043233;0;1102935;4447;1308166
1228189;4759-4761;476 - 477;4;1991;0;435342,6667;153475,5;400;559,3333333;10954,33333;1460,333333;70924,66667;5768,333333;903,6666667;7221,333333;11767,33333;5324;14037,33333;1659,666667;7436;0;0;15059,16667;179194;66528,66667;1567583,667;281867,1667;12,66666667;0;8;5;0;0;13;0;0;5,333333333;2,666666667;2,666666667;2;0;0;0;0;8;4,666666667;135053,6667;37491,33333;161585;24796,64;0;44140,33333;230521,9733;657962,3333;683398,6667;1132241;670680,5;1132241;1132241;0;1341995,667;25851891,67;27453914,33
1228210;473;473;4;2006;0;35847;307704;0;0;14198;0;0;6336;2668;47320;2603;2471;28993;0;14239;0;0;0;0;0;843274;-271857;0;0;0;0;10;0;10;0;0;0;0;0;0;2;8;0;0;2;8;0;0;0;0;188876;0;0;133481;97634;767272;115557,5;767272;767272;0;953779;32884;1175539
1228214;465;464-465;7;2008;1200810;1815996;591106;0;0;86030;0;316473;1677;2374;10303;18387;3690;59498;0;9355;0;83151;168;1103591;542175;3727296;1224890;31;0;31;0;0;1;32;0;0;6;25;0;0;0;0;1;0;7;25;1096246;268245;1364491;240687,28;0;0;1605178,28;9460608;9251314;533000,1283;9355961;533000;1733810;0;2351080;34741;4054007
1228224;464;464-465;4;1983;0;2021042;199535;0;0;37394;0;2581;11582;2579;4191;17698;1116;31335;5059;17278;0;0;68722;526933;217823;4638578;1821507;19;0;19;0;0;1;20;0;0;11;8;0;0;0;0;0;1;11;9;522060;120207;642267;82905,92;0;0;725172,92;1374359;1545101;2597644;1459730;2597644;2597644;0;2953621;224870;4018471
1228225;466;466-469;14;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1228246;4751-4752;474 - 475;5;2010;0;3923768;319288,5;0;3700;84536;20323;135587;3128;1783;6562;11442;1389;5823;119;6978;460;0;15334,5;442491;154008;15375098;3604479,5;21;0;12;9;0;0;21;0;0;3;9;4;5;0;0;0;0;7;14;304628;82659;361590;64788,04;0;137863;564241,04;4860703;4217181;12061320;4538942;12061320;12061320;0;12518026;566679;13776859
1228257;465;464-465;14;1997;0;7484376;1777171,5;0;0;91530;34986;31066;54118;1128;10833;22398;3286;154620;51291;217596;0;1054817;49502,5;785273;235770;21891274;5707204,5;18;2;18;0;0;1;21;1;1;8;10;0;0;0;0;0;1;9;12;774740;117077;891817;101965,24;0;0;993782,24;8975083;8905139;14397986;8940111;14397986;14397986;0;16459642;2195308;19778020
1228312;466;466-469;14;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1228331;473;473;14;1988;0;1115354;164366,5;0;0;24484;0;0;9226;41695;15141;4553;2887;45973;0;12912;0;0;7495,5;225979;89762;10658078;950987,5;12;0;12;0;0;0;12;0;0;6;6;0;0;0;0;0;0;6;6;225979;54280;280259;30132,32;0;0;310391,32;309130;108591;9555434;208860,5;9555434;9555434;0;9831109;25219;10186255
1228345;464;464-465;4;2003;0;2301780;613071;0;3787;148543;119861;60765;3004;25536;5858;22514;1904;174779;8593;0;0;0;37927;784537;386767;5260439;1688709;17;2;17;0;0;1;20;1;1;8;9;0;0;0;0;0;1;9;11;774003;173423;947426;186629,76;0;0;1134055,76;734117;979020;2978551;856568,5;2978551;2978551;0;3700134;171516;5092787
1228369;473;473;4;2004;0;568712;159941,5;0;0;42736;0;44079;3221;580;9490;3228;2936;28199;0;15841;0;0;9631,5;214531;91405;3463364;408770,5;7;0;7;0;0;0;7;0;0;2;5;0;0;0;0;0;0;2;5;214531;49719;264250;33316,24;0;0;297566,24;81174;123111;2934807;102142,5;2934807;2934807;0;3139123;4651;3468101
